u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
241792851,5822714326,0,854945899,False,,unclassified,True,8.308539363829281,,"LINESTRING (135.4977923 34.7091201, 135.4978138 34.7090475)",,
241792851,1852349875,0,1020571198,True,,unclassified,False,38.250459600145675,,"LINESTRING (135.4977923 34.7091201, 135.4977917 34.7091864, 135.4978172 34.7094633)",,
241792851,1742286931,0,1073757106,True,,tertiary,False,83.2699097519654,2,"LINESTRING (135.4977923 34.7091201, 135.4978933 34.7091371, 135.4986952 34.7092177)",,
241792852,1852349891,0,1020571192,False,,unclassified,False,40.22696717891309,,"LINESTRING (135.499143 34.7092632, 135.4991293 34.709321, 135.4990728 34.7096203)",,
241792852,1742839557,0,1073757106,True,,tertiary,False,35.18886358854592,2,"LINESTRING (135.499143 34.7092632, 135.4993757 34.7092896, 135.4995246 34.7093049)",,
241792853,1674104981,0,1011002421,False,,tertiary,False,24.797274936487682,,"LINESTRING (135.5004178 34.7093412, 135.5006834 34.7093866)",,
241792853,1832567642,0,"[307520194, 409208211, 172345666]",True,,trunk_link,False,260.4016934290314,"['1', '2']","LINESTRING (135.5004178 34.7093412, 135.5004702 34.7095069, 135.5004989 34.7096012, 135.5004813 34.7098661, 135.5004126 34.7103001, 135.5002834 34.7110581, 135.5002602 34.7111908, 135.5001153 34.7116465)",,
241792853,1674104978,0,874548572,True,,tertiary,False,123.77274448592291,,"LINESTRING (135.5004178 34.7093412, 135.5003992 34.7095017, 135.500366 34.7097493, 135.500251 34.7104457)",,
241792853,5822714323,0,1073757107,True,,tertiary,False,82.43647258120868,2,"LINESTRING (135.5004178 34.7093412, 135.5002969 34.7093116, 135.5002036 34.7092876, 135.4995303 34.7092225)",,
241792873,308165644,0,"[913388258, 916547292, 1245760341]",True,阪神高速11号池田線,motorway,False,852.1469694727268,3,"LINESTRING (135.4921629 34.6961504, 135.4923803 34.6953722, 135.4924308 34.6952025, 135.4924679 34.6950908, 135.4924993 34.6950067, 135.4925394 34.6949198, 135.4925915 34.6948326, 135.4926463 34.6947554, 135.4927077 34.6946908, 135.4928684 34.6945717, 135.4929611 34.6945206, 135.4930571 34.6944782, 135.4931669 34.694446, 135.4932749 34.6944242, 135.4933922 34.6944123, 135.4935212 34.6944095, 135.4936621 34.6944155, 135.4938177 34.6944281, 135.4940178 34.694452, 135.4948961 34.6945772, 135.4966834 34.6948319, 135.4971627 34.694888, 135.4976394 34.6949353, 135.4981212 34.694972, 135.4985284 34.6949989, 135.4988016 34.6950134, 135.4991019 34.695022, 135.5000037 34.6950305)",,
