u_merged_station_id,v_merged_station_id,edge_count,distance_m_mean,line_refs,line_names,sources
merge::name::abiko,merge::name::kita-hanada,1,1897.358,1,Midōsuji Line,way_order
merge::name::abiko,merge::name::nagai,1,1107.765,1,Midōsuji Line,way_order
merge::name::asashiobashi,merge::name::ōsakakō,1,1526.275,C,line_C,ref_sequence
merge::name::asashiobashi,merge::wikidata::Q1131017,1,1476.528,C,line_C,ref_sequence
merge::name::awaza,merge::name::nishi-nagahori,1,863.233,S,line_S,ref_sequence
merge::name::awaza,merge::name::tamagawa,1,1272.759,5,Senchimae Line,way_order
merge::name::awaza,merge::wikidata::Q304193,1,661.64,S,line_S,inferred_no_ref
merge::name::daido-toyosato,merge::wikidata::Q1042508,1,1727.049,8,Osaka Metro今里筋線,way_order
merge::name::daido-toyosato,merge::wikidata::Q180497,1,920.389,8,Osaka Metro今里筋線,way_order
merge::name::daikokucho,merge::wikidata::Q1038365,1,1008.978,M,line_M,ref_sequence
merge::name::daikokucho,merge::wikidata::Q126102,1,1334.355,Y,line_Y,ref_sequence
merge::name::daikokucho,merge::wikidata::Q20080133,1,1116.503,Y,line_Y,ref_sequence
merge::name::esaka,merge::wikidata::Q1136561,1,1974.078,M,line_M,ref_sequence
merge::name::esaka,merge::wikidata::Q59455,1,1847.893,M,line_M,inferred_no_ref
merge::name::imazato,merge::name::shin-fukae,1,943.683,5,Senchimae Line,way_order
merge::name::imazato,merge::name::tsuruhashi,1,1399.865,S,line_S,ref_sequence
merge::name::itakano,merge::wikidata::Q1042508,1,3283.02,I,line_I,inferred_no_ref
merge::name::itakano,merge::wikidata::Q180497,1,901.05,8,Osaka Metro今里筋線,way_order
merge::name::kita-hanada,merge::name::shin-kanaoka,1,1536.995,M,line_M,ref_sequence
merge::name::kita-tatsumi,merge::name::shoji,1,888.79,S,line_S,ref_sequence
merge::name::kita-tatsumi,merge::wikidata::Q126112,1,1236.437,S,line_S,ref_sequence
merge::name::minoh-kayano,merge::wikidata::Q2056658,1,2450.059,M,line_M,inferred_no_ref
merge::name::minoh-semba handai-mae,merge::wikidata::Q2056658,1,1396.837,M,line_M,inferred_no_ref
merge::name::minoh-semba handai-mae,merge::wikidata::Q59341,1,3256.97,M,line_M,inferred_no_ref
merge::name::nagai,merge::name::nishi-tanabe,1,1400.644,M,line_M,ref_sequence
merge::name::nakafuto,merge::name::フェリーターミナル,1,2296.382,P,line_P,inferred_no_ref
merge::name::nakafuto,merge::name::ポートタウン東,1,1128.194,P,line_P,inferred_no_ref
merge::name::nakafuto,merge::name::ポートタウン西,1,602.674,P,line_P,inferred_no_ref
merge::name::nakafuto,merge::name::南港東,1,2968.463,P,line_P,inferred_no_ref
merge::name::nakafuto,merge::wikidata::Q180469,1,709.259,P,line_P,ref_sequence
merge::name::nakamozu,merge::name::shin-kanaoka,1,1591.665,M,line_M,ref_sequence
merge::name::namba,merge::name::nippombashi,1,611.977,S,line_S,ref_sequence
merge::name::namba,merge::name::sakuragawa,1,872.742,S,line_S,ref_sequence
merge::name::namba,merge::wikidata::Q1040630,1,591.059,5,Senchimae Line,way_order
merge::name::nippombashi,merge::name::tanimachi 9-chome,1,970.09,S,line_S,ref_sequence
merge::name::nippombashi,merge::wikidata::Q1038083,1,883.707,K,line_K,inferred_no_ref
merge::name::nippombashi,merge::wikidata::Q1040630,1,51.578,S,line_S,inferred_no_ref
merge::name::nippombashi,merge::wikidata::Q1041977,1,862.372,5,Senchimae Line,way_order
merge::name::nippombashi,merge::wikidata::Q2066656,1,1283.868,K,line_K,inferred_no_ref
merge::name::nishi-nagahori,merge::name::sakuragawa,1,689.063,S,line_S,ref_sequence
merge::name::nishi-nagahori,merge::wikidata::Q304193,1,201.757,S,line_S,inferred_no_ref
merge::name::nishi-tanabe,merge::name::showacho,1,1296.846,M,line_M,ref_sequence
merge::name::nodahanshin,merge::name::tamagawa,1,549.522,S,line_S,ref_sequence
merge::name::sekime-seiiku,merge::name::shimmori-furuichi,1,1109.872,8,Osaka Metro今里筋線,way_order
merge::name::sekime-seiiku,merge::wikidata::Q1042492,1,1373.944,I,line_I,inferred_no_ref
merge::name::sekime-seiiku,merge::wikidata::Q1042508,1,2181.26,I,line_I,inferred_no_ref
merge::name::shigino,merge::wikidata::Q1042492,1,867.445,I,line_I,inferred_no_ref
merge::name::shigino,merge::wikidata::Q1131699,1,1334.784,I,line_I,inferred_no_ref
merge::name::shimizu,merge::name::shimmori-furuichi,1,812.18,8,Osaka Metro今里筋線,way_order
merge::name::shimizu,merge::wikidata::Q1042492,1,2687.578,I,line_I,inferred_no_ref
