station_key,name,station_uid_count,osm_id_count,station_uids,osm_ids,refs,names_local,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,merged_station_id
name::abiko,Abiko,2,2,node::534122750 | node::7811929079,node/534122750 | node/7811929079,M27,あびこ,Osaka Metro,御堂筋線,stop,stop_position,34.59908165,135.512785,merge::name::abiko
name::asashiobashi,Asashiobashi,2,2,node::537520677 | node::1455848417,node/537520677 | node/1455848417,C12,朝潮橋,,,stop,stop_position,34.660861800000006,135.4488178,merge::name::asashiobashi
name::awaza,Awaza,2,2,node::538715685 | node::12731300594,node/538715685 | node/12731300594,S13,阿波座,,,stop,stop_position,34.68163235,135.4862508,merge::name::awaza
name::daido-toyosato,Daido-Toyosato,2,2,node::538724639 | node::12508282371,node/538724639 | node/12508282371,,だいどう豊里,Osaka Metro,,stop,stop_position,34.7439332,135.54454175,merge::name::daido-toyosato
name::daikokucho,Daikokucho,4,4,node::537510090 | node::7811929023 | node::7811945103 | node::8005455801,node/537510090 | node/7811929023 | node/7811945103 | node/8005455801,Y16 | M21,大国町,Osaka Metro,,stop,stop_position,34.656241574999996,135.497867775,merge::name::daikokucho
name::esaka,Esaka,2,2,node::7397873166 | node::7397873167,node/7397873166 | node/7397873167,M11,江坂,,,stop,stop_position,34.7588643,135.49709885,merge::name::esaka
name::imazato,Imazato,2,2,node::538715763 | node::12731312864,node/538715763 | node/12731312864,S20,今里,Osaka Metro,,stop,stop_position,34.66871615,135.54399884999998,merge::name::imazato
name::itakano,Itakano,2,2,node::538724663 | node::12508282358,node/538724663 | node/12508282358,,井高野,Osaka Metro,,stop,stop_position,34.760002549999996,135.54726025000002,merge::name::itakano
name::kita-hanada,Kita-Hanada,2,2,node::534130395 | node::7811944999,node/534130395 | node/7811944999,M28,北花田,Osaka Metro,,stop,stop_position,34.582281449999996,135.51641115,merge::name::kita-hanada
name::kita-tatsumi,Kita-Tatsumi,2,2,node::538715764 | node::12731312897,node/538715764 | node/12731312897,S23,北巽,,,stop,stop_position,34.65350375,135.55503875,merge::name::kita-tatsumi
name::minoh-kayano,Minoh-kayano,2,2,node::11754833255 | node::11754833256,node/11754833255 | node/11754833256,,箕面萱野,,,stop,stop_position,34.831375,135.4890621,merge::name::minoh-kayano
name::minoh-semba handai-mae,Minoh-semba handai-mae,2,2,node::5599894640 | node::10819025488,node/5599894640 | node/10819025488,,箕面船場阪大前,,,stop,stop_position,34.8218191,135.49023019999998,merge::name::minoh-semba handai-mae
name::nagai,Nagai,2,2,node::534131683 | node::7811929071,node/534131683 | node/7811929071,M26,長居,Osaka Metro,,stop,stop_position,34.60901615,135.5136897,merge::name::nagai
name::nakafuto,Nakafuto,2,2,node::8729045244 | node::8729045245,node/8729045244 | node/8729045245,P11,中ふ頭,Osaka Metro,Osaka Metro,stop,stop_position,34.634039,135.41743975,merge::name::nakafuto
name::nakamozu,Nakamozu,2,2,node::534121583 | node::7811945026,node/534121583 | node/7811945026,M30,なかもず,Osaka Metro,,stop,stop_position,34.556304350000005,135.5062373,merge::name::nakamozu
name::namba,Namba,2,2,node::538714967 | node::12731312827,node/538714967 | node/12731312827,S16,なんば,Osaka Metro,大阪市営地下鉄千日前線,stop,stop_position,34.667249049999995,135.49972075,merge::name::namba
name::nippombashi,Nippombashi,2,2,node::538715048 | node::12731312831,node/538715048 | node/12731312831,S17,日本橋,,,stop,stop_position,34.66713045,135.50641080000003,merge::name::nippombashi
