merged_station_id,station_key,name,name_local,station_uid,osm_id,ref,wikidata,operator,network,railway,public_transport,lat,lon
merge::name::abiko,name::abiko,Abiko,あびこ,node::534122750,node/534122750,M27,,Osaka Metro,御堂筋線,stop,stop_position,34.5990799,135.5127578
merge::name::abiko,name::abiko,Abiko,あびこ,node::7811929079,node/7811929079,M27,,Osaka Metro,御堂筋線,stop,stop_position,34.5990834,135.5128122
merge::name::asashiobashi,name::asashiobashi,Asashiobashi,朝潮橋,node::1455848417,node/1455848417,C12,,,,stop,stop_position,34.6608536,135.4488366
merge::name::asashiobashi,name::asashiobashi,Asashiobashi,朝潮橋,node::537520677,node/537520677,C12,,,,stop,stop_position,34.66087,135.448799
merge::name::awaza,name::awaza,Awaza,阿波座,node::12731300594,node/12731300594,S13,,,,stop,stop_position,34.6816405,135.4862832
merge::name::awaza,name::awaza,Awaza,阿波座,node::538715685,node/538715685,S13,,,,stop,stop_position,34.6816242,135.4862184
merge::name::daido-toyosato,name::daido-toyosato,Daido-Toyosato,だいどう豊里,node::12508282371,node/12508282371,,,Osaka Metro,,stop,stop_position,34.7439168,135.5445246
merge::name::daido-toyosato,name::daido-toyosato,Daido-Toyosato,だいどう豊里,node::538724639,node/538724639,,,Osaka Metro,,stop,stop_position,34.7439496,135.5445589
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::537510090,node/537510090,Y16,,Osaka Metro,,stop,stop_position,34.6562417,135.4978977
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::7811929023,node/7811929023,M21,,Osaka Metro,,stop,stop_position,34.6562418,135.4979568
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::7811945103,node/7811945103,M21,,Osaka Metro,,stop,stop_position,34.6562413,135.4977793
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::8005455801,node/8005455801,Y16,,Osaka Metro,,stop,stop_position,34.6562415,135.4978373
merge::name::esaka,name::esaka,Esaka,江坂,node::7397873166,node/7397873166,M11,,,,stop,stop_position,34.7588638,135.4971624
merge::name::esaka,name::esaka,Esaka,江坂,node::7397873167,node/7397873167,M11,,,,stop,stop_position,34.7588648,135.4970353
merge::name::imazato,name::imazato,Imazato,今里,node::12731312864,node/12731312864,S20,,Osaka Metro,,stop,stop_position,34.6687376,135.544007
merge::name::imazato,name::imazato,Imazato,今里,node::538715763,node/538715763,S20,,Osaka Metro,,stop,stop_position,34.6686947,135.5439907
merge::name::itakano,name::itakano,Itakano,井高野,node::12508282358,node/12508282358,,,Osaka Metro,,stop,stop_position,34.7600039,135.5472368
merge::name::itakano,name::itakano,Itakano,井高野,node::538724663,node/538724663,,,Osaka Metro,,stop,stop_position,34.7600012,135.5472837
merge::name::kita-hanada,name::kita-hanada,Kita-Hanada,北花田,node::534130395,node/534130395,M28,,Osaka Metro,,stop,stop_position,34.5822808,135.5163859
merge::name::kita-hanada,name::kita-hanada,Kita-Hanada,北花田,node::7811944999,node/7811944999,M28,,Osaka Metro,,stop,stop_position,34.5822821,135.5164364
merge::name::kita-tatsumi,name::kita-tatsumi,Kita-Tatsumi,北巽,node::12731312897,node/12731312897,S23,,,,stop,stop_position,34.6535005,135.5550657
merge::name::kita-tatsumi,name::kita-tatsumi,Kita-Tatsumi,北巽,node::538715764,node/538715764,S23,,,,stop,stop_position,34.653507,135.5550118
