osmid,y,x,street_count,highway,geometry
241792851,34.7091201,135.4977923,4,traffic_signals,POINT (135.4977923 34.7091201)
241792852,34.7092632,135.499143,3,,POINT (135.499143 34.7092632)
241792853,34.7093412,135.5004178,6,traffic_signals,POINT (135.5004178 34.7093412)
241792873,34.6961504,135.4921629,3,,POINT (135.4921629 34.6961504)
241792923,34.6938487,135.506254,3,motorway_junction,POINT (135.506254 34.6938487)
241804190,34.7041343,135.4973035,4,traffic_signals,POINT (135.4973035 34.7041343)
241804215,34.7008692,135.4913129,3,traffic_signals,POINT (135.4913129 34.7008692)
241804224,34.7114244,135.5001158,4,traffic_signals,POINT (135.5001158 34.7114244)
241804227,34.7113673,135.4995259,4,,POINT (135.4995259 34.7113673)
241804230,34.7112914,135.4987586,3,,POINT (135.4987586 34.7112914)
241804231,34.7112226,135.4980448,4,,POINT (135.4980448 34.7112226)
258765067,34.6981496,135.5005847,5,,POINT (135.5005847 34.6981496)
258765069,34.6974761,135.5008478,4,,POINT (135.5008478 34.6974761)
258765070,34.6971676,135.5009659,3,,POINT (135.5009659 34.6971676)
258765071,34.6966874,135.5011564,4,,POINT (135.5011564 34.6966874)
258765072,34.6961505,135.501307,5,,POINT (135.501307 34.6961505)
258765074,34.6956937,135.5012746,3,,POINT (135.5012746 34.6956937)
258765078,34.6942704,135.5011135,4,,POINT (135.5011135 34.6942704)
266728634,34.6975132,135.5102956,3,,POINT (135.5102956 34.6975132)
266731187,34.6971768,135.515184,3,,POINT (135.515184 34.6971768)
266731188,34.6970995,135.5162507,3,traffic_signals,POINT (135.5162507 34.6970995)
266731189,34.6970673,135.5167547,3,,POINT (135.5167547 34.6970673)
266731191,34.6970004,135.5179685,4,,POINT (135.5179685 34.6970004)
308165644,34.6950305,135.5000037,3,,POINT (135.5000037 34.6950305)
345570622,34.7076451,135.4981148,3,,POINT (135.4981148 34.7076451)
345570623,34.7079169,135.4979065,3,,POINT (135.4979065 34.7079169)
345570624,34.7082442,135.4975592,3,traffic_signals,POINT (135.4975592 34.7082442)
365926459,34.7011223,135.4968213,4,traffic_signals,POINT (135.4968213 34.7011223)
365926460,34.7004504,135.4972953,5,traffic_signals,POINT (135.4972953 34.7004504)
365926461,34.7000765,135.4979982,3,,POINT (135.4979982 34.7000765)
365926462,34.6994575,135.4983725,3,traffic_signals,POINT (135.4983725 34.6994575)
365926471,34.6995285,135.5001,3,,POINT (135.5001 34.6995285)
365926480,34.699612,135.5027672,3,,POINT (135.5027672 34.699612)
365926484,34.7000934,135.5027287,3,,POINT (135.5027287 34.7000934)
365926491,34.700612,135.5026942,3,,POINT (135.5026942 34.700612)
365926499,34.7006219,135.5030817,4,,POINT (135.5030817 34.7006219)
365926506,34.7001219,135.5031886,4,,POINT (135.5031886 34.7001219)
365926508,34.7017177,135.5028634,4,,POINT (135.5028634 34.7017177)
367429369,34.7048547,135.5144119,3,motorway_junction,POINT (135.5144119 34.7048547)
372158761,34.7016582,135.4873384,4,traffic_signals,POINT (135.4873384 34.7016582)
372159018,34.709318,135.4904851,4,,POINT (135.4904851 34.709318)
372159037,34.7083627,135.4907415,6,traffic_signals,POINT (135.4907415 34.7083627)
372159069,34.706393,135.4910835,3,,POINT (135.4910835 34.706393)
372159087,34.7055361,135.4911687,3,traffic_signals,POINT (135.4911687 34.7055361)
372159368,34.7095305,135.4930231,4,traffic_signals,POINT (135.4930231 34.7095305)
372159383,34.7093086,135.4941484,3,,POINT (135.4941484 34.7093086)
372159413,34.7106821,135.4890308,4,traffic_signals,POINT (135.4890308 34.7106821)
411304718,34.685551,135.4821661,3,,POINT (135.4821661 34.685551)
411686224,34.6998291,135.4831226,5,traffic_signals,POINT (135.4831226 34.6998291)
411686259,34.7024397,135.4939592,4,traffic_signals,POINT (135.4939592 34.7024397)
412491919,34.6980867,135.4914289,4,traffic_signals,POINT (135.4914289 34.6980867)
412491921,34.695333,135.4925862,3,,POINT (135.4925862 34.695333)
412739414,34.6956976,135.4903048,4,traffic_signals,POINT (135.4903048 34.6956976)
413290006,34.7001618,135.49568,3,,POINT (135.49568 34.7001618)
413290007,34.7006326,135.4957411,4,traffic_signals,POINT (135.4957411 34.7006326)
413290008,34.7018103,135.4984215,4,,POINT (135.4984215 34.7018103)
413291855,34.7093494,135.5157484,4,,POINT (135.5157484 34.7093494)
413291856,34.7107147,135.510685,4,,POINT (135.510685 34.7107147)
413293283,34.7171135,135.5184669,4,,POINT (135.5184669 34.7171135)
413318664,34.7049415,135.4952115,4,,POINT (135.4952115 34.7049415)
417252601,34.6933299,135.5010237,3,traffic_signals,POINT (135.5010237 34.6933299)
417252606,34.6933966,135.4989012,3,,POINT (135.4989012 34.6933966)
417347204,34.6861036,135.4833454,3,,POINT (135.4833454 34.6861036)
421565888,34.6985418,135.4896623,3,traffic_signals,POINT (135.4896623 34.6985418)
421566017,34.7148757,135.5105626,5,traffic_signals,POINT (135.5105626 34.7148757)
421566021,34.7132976,135.5105881,3,,POINT (135.5105881 34.7132976)
428702843,34.6941266,135.5102861,4,traffic_signals,POINT (135.5102861 34.6941266)
428702844,34.6941366,135.5106563,3,,POINT (135.5106563 34.6941366)
428702852,34.6936091,135.5077094,5,traffic_signals,POINT (135.5077094 34.6936091)
428702854,34.6924209,135.5125717,3,,POINT (135.5125717 34.6924209)
428702857,34.693216,135.5088661,3,,POINT (135.5088661 34.693216)
428702858,34.6941461,135.5092724,4,traffic_signals,POINT (135.5092724 34.6941461)
428705335,34.6955475,135.5110242,4,traffic_signals,POINT (135.5110242 34.6955475)
428748582,34.6922055,135.5180303,3,,POINT (135.5180303 34.6922055)
432073372,34.6864913,135.4828512,3,,POINT (135.4828512 34.6864913)
432382679,34.6861934,135.4835565,3,,POINT (135.4835565 34.6861934)
439181837,34.6893466,135.4853512,5,,POINT (135.4853512 34.6893466)
439183280,34.6864303,135.4828727,4,traffic_signals,POINT (135.4828727 34.6864303)
441037925,34.6921022,135.5174251,4,traffic_signals,POINT (135.5174251 34.6921022)
442864388,34.6922827,135.4887999,4,traffic_signals,POINT (135.4887999 34.6922827)
467688838,34.7020889,135.5017513,4,,POINT (135.5017513 34.7020889)
467688841,34.6988202,135.5021215,3,,POINT (135.5021215 34.6988202)
467688842,34.6980498,135.502118,4,,POINT (135.502118 34.6980498)
514446044,34.6946614,135.5177076,4,,POINT (135.5177076 34.6946614)
514446441,34.6951361,135.5179409,4,,POINT (135.5179409 34.6951361)
536471586,34.6961442,135.492119,3,motorway_junction,POINT (135.492119 34.6961442)
538932013,34.7149442,135.5073954,4,traffic_signals,POINT (135.5073954 34.7149442)
563675207,34.6955107,135.4939998,4,,POINT (135.4939998 34.6955107)
563675253,34.697796,135.4944587,3,,POINT (135.4944587 34.697796)
563675255,34.6975676,135.4935933,4,,POINT (135.4935933 34.6975676)
563675270,34.6973504,135.4945825,3,,POINT (135.4945825 34.6973504)
564044203,34.6934215,135.514869,4,traffic_signals,POINT (135.514869 34.6934215)
564044357,34.6934036,135.515346,4,,POINT (135.515346 34.6934036)
564044516,34.6920704,135.5157482,3,,POINT (135.5157482 34.6920704)
564044553,34.6947019,135.5169037,4,,POINT (135.5169037 34.6947019)
564044866,34.6934592,135.5143048,4,,POINT (135.5143048 34.6934592)
564045138,34.6935142,135.5134738,4,,POINT (135.5134738 34.6935142)
564045387,34.6928808,135.5125772,3,,POINT (135.5125772 34.6928808)
564045597,34.6932797,135.5174622,3,,POINT (135.5174622 34.6932797)
564046112,34.6958876,135.5170125,2,,POINT (135.5170125 34.6958876)
564047113,34.6959227,135.5166312,3,,POINT (135.5166312 34.6959227)
564047135,34.6958173,135.5178404,4,,POINT (135.5178404 34.6958173)
564047278,34.6963752,135.5179164,3,,POINT (135.5179164 34.6963752)
564048082,34.6941317,135.5176299,3,,POINT (135.5176299 34.6941317)
564126003,34.6961963,135.5019307,3,,POINT (135.5019307 34.6961963)
564126004,34.6964865,135.5014193,5,,POINT (135.5014193 34.6964865)
564126006,34.6969992,135.5016984,3,,POINT (135.5016984 34.6969992)
